# index eigen f_xx f_xxx pxx_x pyy_x pzz_x pxy_x pxz_x pyz_x
158    2.38006    2.49083  -0.219727 -0.00115872 0.000290549          0 0.00154441          0          0
159    2.38447    2.50634 -0.0597939 0.000133771 -3.50564e-05          0 -0.000637123          0          0
160    2.40957    2.57038 -0.0240004 0.000865552 -0.00259845          0 -5.13443e-05          0          0
161    2.41587    2.56153 -0.0187255 -0.00117397  0.0015367          0 4.50974e-05          0          0
162    2.43437    2.55785  0.0747804 -0.00187129 0.000540221          0 -0.00134495          0          0
163    2.43905     2.5649  0.0244691 0.00140828 -0.00150079          0 0.000302577          0          0
164    2.45066    2.52925  0.0551899 -0.00160861 0.000401437          0 0.000213552          0          0
165    2.46358    2.54366  0.0543016 -0.000450027 0.000467912          0 0.00139941          0          0
166    2.47633    2.58597    0.57278 -0.00111842 0.00247564          0 -0.00193633          0          0
167    2.48841    2.66117   0.313931 -0.00105801 -0.000784481          0 -0.000739535          0          0
168    2.52411    2.65235  0.0872981 0.000591124 0.00173838          0 0.00279818          0          0
169    2.52969    2.68802  0.0415511 -0.000491727 0.000621188          0 -0.000896895          0          0
170    2.53793    2.66832  -0.111213 0.000160663 -0.00230013          0 0.000565492          0          0
171    2.55483    2.73515 -0.0425518 -0.000224316 8.16296e-05          0 0.000581672          0          0
172    2.57492    2.71182  0.0199764 -0.00133279 0.000120984          0 -0.000603904          0          0
173    2.58795    2.73043 0.00245648 -0.00126684 0.00147247          0 6.31898e-05          0          0
174    2.59153    2.71536  0.0221978 -0.000867144 0.00126493          0 0.00140754          0          0
175    2.60235    2.71554   0.421321 0.00297395 0.000158244          0 2.06035e-06          0          0
176    2.62678    2.74186   0.123905 -0.000640786 -0.00148378          0 -0.00295195          0          0
177    2.63472    2.75475 -0.0250313 -0.000662476 0.000895472          0 0.000566928          0          0
178    2.64325    2.73456 -0.0977623 0.000873488 -0.000982783          0 0.000655217          0          0
179    2.66623    2.78944 -0.0576662 -0.00191487 0.000940846          0 0.000286482          0          0
180     2.6928    2.79638 -0.00505906 0.000850592 -0.000830463          0 -0.00112714          0          0
181    2.69749    2.80463   0.193776 0.00199666 -0.000980276          0 0.000962061          0          0
182    2.70745    2.79866 -0.0357369 -0.00177449 0.000244105          0 0.00109455          0          0
183    2.71983    2.81751 -0.0331181 -0.000395923 0.00194571          0 0.000542022          0          0
184    2.74538    2.87162 -0.0425964 0.00165295 -0.00109936          0 -0.00142028          0          0
185    2.75956    2.90892    0.04206 -0.00131588 -9.51925e-06          0 0.000440396          0          0
186     2.7627    2.87247  -0.113865 -0.00106945 -0.00114994          0 0.000793784          0          0
187    2.77019    2.92981  0.0709104 -0.00150224 -8.4837e-05          0 -0.000791999          0          0
188    2.80095    2.92404 0.00154402 0.000477819 -0.000733269          0 -0.000523827          0          0
189    2.81332    2.97625   0.263859 0.00154687 0.000912203          0 0.000812574          0          0
190    2.82968    2.99239  0.0267841 0.00122108 -5.05363e-05          0 0.00130209          0          0
191    2.84385     2.9582 -0.0793424 -0.000947302 0.000584483          0 -0.00252922          0          0
192    2.86167    3.00543 -0.0349219 -0.000780502 0.000467185          0 -0.00131137          0          0
193    2.87078    2.96485    0.21184 0.000807055 -0.000548551          0 0.000893643          0          0
194    2.88259     3.0297  0.0964842 -0.00222681 0.000961255          0 -0.000931188          0          0
195    2.89441     3.0203  0.0722809 -0.000281026 0.00127159          0 -0.000481417          0          0
196    2.92216    3.04195  -0.153932 0.00164138 8.54353e-05          0 0.00146249          0          0
197    2.92491    3.04867    0.10677 -0.000862302 0.000239053          0 -0.00207436          0          0
198    2.93702    3.04472  0.0251161 -0.000340152 -0.000438431          0 -0.00174562          0          0
199    2.96386     3.1064  0.0555002 0.000425494 0.000402737          0 0.000586421          0          0
200    2.97593     3.1104 -0.0702603 -0.00210871 0.00117057          0 -0.00123836          0          0
201    2.98033    3.05328    0.07978 0.000490543  0.0013163          0 -0.0021792          0          0
202    3.00788    3.16775 -0.0915106 -0.00157776 0.000500061          0 6.51796e-07          0          0
203    3.01988    3.16508   0.074592 -0.000909687 -0.000475807          0 -0.000995395          0          0
204    3.03631    3.16216  0.0615136 5.66565e-05 -0.000286173          0 0.000423373          0          0
205     3.0434    3.15301   0.133878 -0.000828027 0.00128489          0 0.000918239          0          0
206    3.04701    3.16209 -0.0768835  0.0012195 -0.00123395          0 7.06174e-05          0          0
207    3.07634    3.20277 0.00905385 -0.000502065 -0.00128523          0 -0.000696217          0          0
208    3.09896    3.23659  0.0423512 0.00122469 -4.13513e-05          0 0.00183573          0          0
209    3.10289    3.22111  0.0462927 -0.00132299 0.00101463          0 -0.000359628          0          0
210     3.1193    3.23224  0.0658791 -0.00162015 0.000606298          0 -0.00277781          0          0
211    3.13139    3.25456 -0.0314632 -0.000222858 -0.00162842          0 -5.65759e-05          0          0
212    3.13586    3.25656  0.0824787 0.00133871 -0.000211431          0 -0.00131964          0          0
213    3.14758    3.23667  0.0412507 0.00219333 -0.000419774          0 -0.000354804          0          0
214    3.15753    3.30098   0.078267 1.33433e-05 -0.00101306          0 -0.000728923          0          0
215    3.18794    3.27819 0.00076287 -0.000242574 0.000678531          0 -8.91594e-05          0          0
216    3.20743    3.31292   0.146255 0.00022528 -0.00237745          0 -0.000727026          0          0
217    3.21884    3.32272  -0.102478 -0.00175295 0.00275704          0 0.000149167          0          0
218    3.23384    3.34571 -0.0851598 -4.08211e-05 -0.00102508          0 -0.000719764          0          0
219    3.24049    3.34107  -0.345449 -0.00112494 0.00111901          0 0.00132707          0          0
220    3.26538    3.39568 0.00833534 0.00200196 -0.000400996          0 -0.000635156          0          0
221    3.29049    3.39755 -0.0332464 -0.000625642 0.000413728          0 0.00152951          0          0
222    3.29722    3.37499   0.030123 0.00109779 -0.00108584          0 0.00142646          0          0
223    3.30757    3.42136  -0.532003 0.00432911 -0.00106408          0 0.000801219          0          0
224    3.31119    3.45198   -0.13029 -0.00103346 0.000944179          0 0.000520194          0          0
225    3.33534    3.42924  -0.423234 -0.00101858 0.00069286          0 0.000555922          0          0
226    3.35149    3.48516  0.0656301 0.00258463 -0.00304607          0 -0.000689416          0          0
227    3.36454    3.50056   0.285851 0.000578396 -0.00109266          0 -0.000969178          0          0
228    3.37699    3.48631  0.0261613 0.000459296 -0.000167092          0 0.000865421          0          0
229    3.41501    3.54634   0.122846 0.000614536 0.000944728          0 0.00247284          0          0
230    3.42379    3.54106  -0.160621 0.000268793 0.000385022          0 0.00209463          0          0
231    3.43935    3.58533 -0.0298317 0.00185591  -0.002267          0 -0.00278651          0          0
232    3.45537    3.57108 -0.0134484 -0.00116763  0.0021492          0 0.000789857          0          0
233    3.49191    3.54682  -0.165809 0.000204349 -0.000621023          0 0.000173215          0          0
234    3.51349     3.6371 -0.0588829 -0.0024912 0.00301563          0 0.00247982          0          0
235    3.52189    3.64545  0.0588319 0.00110136 -0.00110069          0 -0.00158356          0          0
236    3.53153    3.65245  0.0351993 0.00091098 -5.59624e-05          0 0.000578219          0          0
237    3.54883    3.65436 -0.00974466 0.000149072 -0.00189469          0 -0.0017406          0          0
238    3.55712    3.69214     0.1128 -0.00142678 0.000301289          0 0.00331161          0          0
239    3.58246    3.70434  0.0275527 0.00121325 0.00145899          0 0.00215389          0          0
240    3.60454    3.69425  0.0637061 0.00210315 -0.00227751          0 -0.00103131          0          0
241    3.61559    3.72977  -0.149226 -0.000393342 0.000497108          0 0.00026355          0          0
242    3.62147    3.75258  -0.222452 -0.00336263 0.00377222          0 -0.000627051          0          0
